 Papers,Title,Monkey,Epoch,Brain areas,Main epoch,Note main epoch,Sensitive neurons,Layers,Number of neurons (number of sessions),"Grand CP, random seeds","CP (zero signal), random seeds","Grand CP, frozen seeds","CP (zero signal), frozen seeds",CP-P/N ratio slope,CP-P/N ratio intercept,Recording technique,Description of the stimulus,Task parameter,Difficulty parameter,Stimulus size tailored to neurons' RF,Ratio of stimulus size to RF size ,Non task parameters of stimulus tailored to neurons,Task parameters of stimulus tailored to neurons,How neurons' preferences were estimated,Stimulus duration(ms),Time window for CP calc (ms),Stimulus type,Task type,Reaction Time (RT) Task,"Bias in Sensitivities (proportion of neurons with d'>0, + is for Target 1) ",Perceptual learning exposure duration before data collection,Perceptual learning exposure duration during data collection,Lapse rate,Psych. kernel alignment with the task,Neurometric threshold,Psychometric threshold,N/P ratio,Neurometric threshold method,Choice made by,Predictibility of choice targets,Location of stimulus (deg visual angle),Symmetry of task sensitivity of neurons,Location of target 1(deg visual angle),Location of target 2(deg visual angle),CP-sensitivity: variable for sensitivity,CP-sensitivity: how measured,CP-sensitivity: result (pvalue),,,
Lange et al. (2023),Weak evidence for neural correlates of task-switching in macaque V1,U,1(Cardinal),V1,1,,,,321(13),0.505 (0.498 - 0.511),,,,0.06 (0.0183; 0.1018),0.499 (0.493; 0.504),Utah,band-passed grating,orientation,coherence,2 (population of neurons),11.1,2 (population of neurons),3 (not tailored),from task data,1224,1224,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,17.1739543488354,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,,,sensitivity,slope,X(p=0.08),,,
,,U,2(Oblique),V1,1,,,,350(12),0.502 (0.498 - 0.506),,,,0.033 (-0.0037; 0.0696),0.5 (0.496; 0.503),Utah,band-passed grating,orientation,coherence,2 (population of neurons),,2 (population of neurons),3 (not tailored),from task data,1224,1224,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,17.4490497696927,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,,,sensitivity,slope,X(p=0.66),,,
,,A,1(Cardinal),V1,1,,,,1052(43),0.503 (0.498 - 0.506),,,,-0.023 (-0.0373; -0.0086),0.505 (0.503; 0.507),Utah,band-passed grating,orientation,coherence,2 (population of neurons),11.6,2 (population of neurons),3 (not tailored),from task data,1224,1224,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,15.2675648880131,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,,,sensitivity,slope,X(p=0.9),,,
,,A,2(Oblique),V1,1,,,,918(37),0.506 (0.502 - 0.51),,,,0.0069 (-0.0073; 0.0211),0.505 (0.503; 0.508),Utah,band-passed grating,orientation,coherence,2 (population of neurons),,2 (population of neurons),3 (not tailored),from task data,1224,1224,1 (not bi-stable),2 (coarse discrimination),No,,,,,,,,11.1891228563513,Neuron-Anti-neuron*sqrt(2),Saccades,Fixed for the whole period,,,,,sensitivity,slope,X(p = 0.7),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laamerad et al. (2024),Decision-related activity and movement selection in primate visual cortex,two combined,1(drifting grating),MT,4,Cp-d',,,75,0.511(SEM = 0.006),,,,0.036 (0.007; 0.065),0.487 (SEM= 0.006),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,1,0.5,,,24.38,16 ,1.523648,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,-0.18,,,
,,two combined,2(random dot),MT,0,CP-d',,,129,0.51(SEM = 0.004),,,,0.021(0.009; 0.033),0.496 (SEM= 0.002),Linear probe,random dots,direction of movement,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,1,0.5,,,18.92,12,1.566798,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,two combined,3(drifting grating),MT,4,,,,81,0.513(SEM = 0.006),,,,0.038 (0.026; 0.05),0.488 (SEM= 0.003),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,1.5,0.5,,,21.35,14,1.524261,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,threshold,Spearman correlation,-0.19,,,
,,1,1(drifting grating),MT,1,,,,29,0.503 (SEM = 0.007),,,,-0.012 (-0.054; 0.03),0.511 (SEM= 0.007),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,27.02,18,1.502322,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,1,2(random dot),MT,1,,,,55,0.505 (SEM = 0.007),,,,0.018 (-0.004; 0.04),0.492 (SEM= 0.004),Linear probe,random dots,direction of movement,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,19.41,14,1.386314,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,1,3(drifting grating),MT,1,,,,30,0.519 (SEM = 0.006),,,,0.05 (0.018; 0.082),0.486 (SEM= 0.005),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,24.44,16,1.527698,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,2,1(drifting grating),MT,1,,,,46,0.514 (SEM = 0.004),,,,0.041 (0.022; 0.06),0.488 (SEM= 0.006),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,22.15,14,1.582213,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,2,2(random dot),MT,1,,,,74,0.516 (SEM =0.005),,,,0.023 (-0.003; 0.049),0.501 (SEM= 0.002),Linear probe,random dots,direction of movement,coherence,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,16.91,11,1.537482,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,2,3(drifting grating),MT,1,,,,51,0.508 (SEM = 0.005),,,,0.011 (-0.013; 0.035),0.5 (SEM= 0.002),Linear probe,drifting grating,direction of movement,contrast,2 (population of neurons),,2 (population of neurons),2 (population of neurons),from separate sessions,67,67,1 (not bi-stable),2 (coarse discrimination),No,,,,,,17.97,13,1.382468,Neuron-Anti-neuron,Saccades,varied session by session,,,based on neuron pref,based on neuron pref,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
